,0
Kleinschmidt A,51.9417211229741
Kurata K,26.8910478834143
Tsuji T,4.23753285526165
Naraki S,5.80846634281749
Seino M,3.48507980569049
Abe Y,16.1346287300486
Martinkauppi S,22.4496682182105
Rama P,14.7221794374137
Carlson S,9.71758646146936
Donner T,46.5729054779807
Kettermann A,16.7662459720730
Diesch E,6.82862465907507
Ostendorf F,6.03584854994629
Villringer A,8.11449309467655
Daly EM,18.3450180386598
Van Amelsvoort T,12.2707857973857
Robertson DM,10.9197958980393
Rowe A,6.55187753882358
Phillips M,7.99318075006799
McAlonan G,18.1503668267449
Howlin P,0.797007982906853
Murphy DG,30.8631609731660
Stanescu-Cosson R,124.613990332975
Pinel P,69.4863807160106
van De Moortele PF,26.9166219119227
Perry RJ,74.9736966979911
Gerardin E,158.716517097775
Gaymard B,21.2273214880853
Marsault C,19.7025762726629
Agid Y,4.44304669302829
Wagner AD,41.3746473149432
Maril A,15.2176163961340
Schacter DL,46.4650680185935
Katanoda K,17.8571428571429
Yoshikawa K,6.42857142857143
Sugishita M,12.6530612244898
Chun MM,26.7477115846338
Temple E,25.2217897118125
Protopapas A,12.2801852758047
Nagarajan S,4.79954867753651
Salz T,5.21983315280787
Tallal P,3.13189989168472
Merzenich MM,1.87913993501083
Habib M,410.0
Marshall JC,12.0746881405276
Weiss PH,16.4505525765862
Halligan PW,4.37820679887437
Ramnani N,31.0119950131336
Cornette L,6.38830607760809
Dupont P,5.15557186433151
Bormans G,1.96738376127689
Mortelmans L,1.18043025676613
Gruber O,20.4939765052295
Wise RJ,26.5344038242102
Scott SK,16.9787498230771
Blank SC,38.0639097744361
Mummery CJ,8.04022456176237
Murphy K,9.03411944289303
Warburton EA,36.8862566767345
Otten LJ,52.9460899491376
Rugg MD,30.4584566887808
Bense S,48.6510954346074
Stephan T,12.9766796997894
Yousry TA,15.5724783163191
Brandt T,15.1544437305024
Dieterich M,27.3408358054814
Ishai A,139.681497599040
Ungerleider LG,24.6557122168676
Portas CM,121.676960257787
Krakow K,79.2348086787913
Allen P,13.2389986838846
Tracy JI,9.51391400614898
Faro SS,5.13560687432868
Mohammed F,3.08136412459721
Pinus A,1.18624796851255
Christensen H,1.10929108485499
Burkland D,8.55934479054780
Druzgal TJ,41.5484906315059
Andrade A,14.5575075979849
Kherif F,13.0367261082374
Mangin JF,14.8804546708440
Worsley KJ,3.97198970459581
Simon O,127.760512749165
Liddle PF,45.1067587456469
Kiehl KA,55.3945004498722
Smith AM,50.3607219400733
Menon V,105.163975843276
Adleman NE,32.8992682530207
White CD,31.4291852063518
Reiss AL,50.9741712901927
Freund HJ,21.2100233692830
Haslinger B,25.7804410602888
Erhard P,13.9516908089016
Kampfe N,34.7988876853858
Boecker H,19.4392281550286
Rummeny E,10.3279903982090
Schwaiger M,3.55756726891368
Conrad B,2.91274452696326
Ceballos-Baumann AO,25.4702387221902
Schubotz RI,15.0001140143148
Keller TA,37.4889465092260
Carpenter PA,32.2369244713847
Just MA,75.4794536584798
Pochon JB,42.3282740240530
Levy R,26.8140196080958
Crozier S,11.1019622000557
Pillon B,3.98325836571246
Deweer B,2.39802383521202
Dubois B,41.3261693371599
Surguladze SA,20.2506159797034
Calvert GA,3.32693259908221
Campbell R,16.9765413320376
Giampietro V,3.26124737808282
Weidner R,7.48649344351015
Thomas KM,37.2044593044437
Drevets WC,15.4561724107959
Eccard CH,19.1998735810793
Dahl RE,5.84440981504698
Ryan ND,4.71201182792975
Casey BJ,33.8650539486839
Murata T,4.27497974044057
Omori M,8.07838004521387
Takahashi T,5.18395929251968
Xiao R,2.50446540159973
Inase M,2.11956861356441
Iijima T,2.37913178400462
Tabert MH,26.7134851697894
Borod JC,19.0397954507582
Tang CY,2.80257382224765
Lange G,21.8726486739227
Wei TC,2.77407449299982
Johnson R,2.46755749041826
Nusbaum AO,1.48053449425096
